commit_hash,timestamp,container,registry,container_source
3d48893ab3ccc7aa36b1926adac3fda74fd2022c,1582655784,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
760214606d7cc4dfbb2f07e47a7e6f319a3f333d,1582655784,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
31ca3a8caf9aae0481b93382615c632319b71818,1582655785,node:10-buster,yarn,
e01f33820bc7ce3f1eb73ca276136696a41f8dd0,1582657393,node:10-buster,yarn,
83293c4f805d670708bbf7c24a95f517b7b4cc24,1582657399,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
303e5c11e7db34cf014107aecd2e81c821bfde8d,1582760959,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
1de223bd2109f0789c03b2e669549bc15087f6fd,1582761077,node:10-buster,yarn,
3b9c13599a0af1bb0b4d80fc7a9b925e0b518d2c,1582763747,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
f9248c0be63fba37a30098dc9215c752474380e3,1583254019,node:10-buster,yarn,
909cc39180a352f206898481add5772206c8b65f,1583254143,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
0365d39bdc74960a18caac674f51d0e2a98b31e6,1583254184,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
9204ffa584c140c5e22b1ee37f6df2c98f5dc70b,1583254266,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
f924929fd31332511a6ef47978f4aaceaaec3bfd,1583256175,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
ec5e45d44862b1286bd76b83716f1b81a748af91,1583256901,node:10-buster,yarn,
d9a7b30f6afc0419ad4939bfb478ca8a589e769f,1583256906,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
e111676467f090f73802b97e8da7ece481b18f99,1584547702,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
c50d679c68b39dd03ad127d34f540ddcb1b1e804,1584547761,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
a2de99ff9e02425a3ccc25280f390178be755a36,1584547797,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
217debeb9812e037a6686cbf6ec67a0cd47fa68a,1584547854,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
0eac801cdef344e9fbda6270145e062211255b0e,1584548350,node:10-buster,yarn,
7d8e5b99c4ef8c394cffa7fc845f54a25ff37e3a,1584548700,node:10-buster,yarn,
4ad2214873cddfd4a0eff1bd188516b08fae9f9e,1584548738,node:10-buster,yarn,
ee35ca5d9ce2b83593643fba56afa015736fa451,1584626824,node:10-buster,yarn,
069d3b0317eb47e19b94115b739a2300496b99d2,1584626824,node:10-buster,yarn,
c0de153d9f06aa4848fc9b84306ef2352d81003a,1584627524,node:10-buster,yarn,
cc3122a2fe4619615bf87860b49272ed5ac30335,1584627525,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
136832dcae13cb5518b1fe17bd63ea9b2a195f92,1585078687,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
9c554fd8cd1e9aeb8eb122ccfa3c78d12af4097a,1585079871,node:10-buster,yarn,
b3eb8d574622dbe01acf5e0949b662baafca20af,1585081228,node:10-buster,yarn,
8bf99b2b58c14d45dc6739fce77de051ebc8ffb7,1585081301,node:10-buster,yarn,
5e75850bc6258080de4e6c9cb5add378c2b9581f,1585083246,node:10-buster,yarn,
be3796141440dfd29d0c674fc11426ed77ae870f,1585083247,node:10-buster,yarn,
66f77adfcd6c4df2dfa8914c40114a6d24d0cc8a,1585147238,node:10-buster,yarn,
cf7da1e1a0dc9becbe382ac5abd8830551009a53,1585150897,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
b411f76ca2c09b734ff6e95f518eb4c0376c1b1f,1588283605,node:10-buster,yarn,
33ec41f18f557146607cb14a7a38c707fce6d42c,1588299929,node:10-buster,yarn,
d16a34f7bd19deaca8756c6728d38f841a4be696,1588299930,node:10-buster,yarn,
3f7301bb2c1d4dba72af230d2b37ae52db7adfcb,1588299930,node:10-buster,yarn,
94ed456dfb0b122fd4192429024f034d06c3c454,1588299930,node:10-buster,yarn,
5587ac01ffd0d2ea830a6bbb67bb34a611ffc409,1588300001,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
07a4d8884448359bac485a49c05fd2d23d06834b,1588303686,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
8228d1f2e427ad9adee617266108acd1ee39b4a5,1588303743,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
e6d20831740a84aea766da2a2913cf82a4d56ada,1588303800,node:10-buster,yarn,6 >=6.2.0 || 8 || >=9.3.0
725bef843118bcc56f3d069fee24641b8d810266,1588305245,node:10-buster,yarn,
0f219ccc9c1c16b8e52f3438f3af53dc1c9f0d78,1588305273,node:10-buster,yarn,
36c878d7590514adec06884912f66862a5d7dd06,1588350134,node:10-buster,yarn,
